,uuid,name,dob,sex,job_id,num_course_taken,current_career_path_id,time_spent_hrs,age,age_group,email,street,city,state,zip_code,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
61,65,Jasmine Vos,1942-08-24,F,5,13.0,0,0.0,80.0,80,vos8677@coldmail.com,P.O. Box 56722, La Veta, Vermont, 72685,0,none,0,financial services,135000
62,66,Kenny Hebert,1985-11-12,M,1,15.0,2,10.32,37.0,30,kenny_hebert422@woohoo.com,426 Colonial Estate, West Union, Alabama, 86332,2,data engineer,20,analytics,86000
63,67,Landon Huang,1982-04-20,N,4,5.0,10,8.28,41.0,40,huang2944@inlook.com,P.O. Box 32412, Fults village, New Jersey, 66323,10,ux/ui designer,15,creative,66000
64,68,Lashandra Jansdr,1990-12-31,N,4,4.0,2,0.66,32.0,30,jansdr2669@coldmail.com,141 Indian Course Viaduct, Westwood village, Alabama, 96752,2,data engineer,20,creative,66000
65,69,Cheryle Mcguire,1991-04-30,F,1,13.0,9,0.32,32.0,30,cheryle6670@inlook.com,608 Fallen Flat, Ragan village, New Mexico, 68677,9,machine learning engineer,35,analytics,86000
66,70,Millard Nedermeyer,1948-06-27,M,4,6.0,1,9.59,74.0,70,millard8795@coldmail.com,947 Branch Trace, Lombard village, Florida, 42808,1,data scientist,20,creative,66000
67,72,Genevie Huerta,1954-11-15,F,1,8.0,0,0.0,68.0,60,genevie_huerta5604@inlook.com,401 Quaking Smith, McDermitt, Montana, 96073,0,none,0,analytics,86000
68,73,Leonardo Carey,1974-10-09,N,1,6.0,5,1.99,48.0,40,leonardo_carey4263@woohoo.com,791 Foggy Station, Norman, South Carolina, 18947,5,backend engineer,18,analytics,86000
69,74,Willis Burghout,1948-03-19,M,7,5.0,10,7.88,75.0,70,burghout3492@coldmail.com,539 Pond Bay, Colerain, Vermont, 72071,10,ux/ui designer,15,HR,80000
70,75,Junko Vermijn,1942-03-23,N,1,6.0,1,15.47,81.0,80,junko_vermijn5645@woohoo.com,P.O. Box 43101, Creekside, Delaware, 47765,1,data scientist,20,analytics,86000
71,76,Ozie Vaughan,1976-06-25,N,4,2.0,10,7.16,46.0,40,ozie_vaughan4992@woohoo.com,334 Merry Ferry, Lostant village, Indiana, 30256,10,ux/ui designer,15,creative,66000
72,77,Alisia Dunlap,1958-02-25,F,6,1.0,3,10.51,65.0,60,alisia4066@inlook.com,656 Burning Cliff, Garden Plain, Delaware, 38498,3,data analyst,12,education,61000
73,78,Tammie Lagerweij,1990-11-03,F,1,14.0,1,15.58,32.0,30,tammie4433@woohoo.com,P.O. Box 62716, Kingsport, West Virginia, 80515,1,data scientist,20,analytics,86000
74,79,Kizzy Mendez,1952-09-26,F,6,4.0,9,35.79,70.0,70,kizzy_mendez7051@woohoo.com,576 NE Fourth Terrace, Clawson, New Hampshire, 11901,9,machine learning engineer,35,education,61000
75,80,Vina Chan,1977-02-14,F,6,3.0,6,3.22,46.0,40,vina4276@hmail.com,837 Main Track, Abbeville, Pennsylvania, 88855,6,frontend engineer,20,education,61000
76,82,Woodrow Rosieu,1995-11-13,M,6,1.0,5,6.03,27.0,20,woodrow1266@hmail.com,P.O. Box 40606, Losantville, New Mexico, 21744,5,backend engineer,18,education,61000
77,83,Tameka Weir,1981-12-16,F,4,2.0,7,6.6,41.0,40,weir9881@hmail.com,989 SE First Heights, Fairmount Heights, North Carolina, 71705,7,iOS developer,27,creative,66000
78,84,Erick Adkins,1950-06-09,M,7,14.0,6,6.89,72.0,70,erick_adkins8044@inlook.com,84 Indian Mill, Harrisburg, California, 68986,6,frontend engineer,20,HR,80000
79,85,Sherwood Guerra,2001-02-27,M,3,14.0,4,22.81,22.0,20,sherwood_guerra2787@inlook.com,240 Silent Lock, Harker Heights, Alaska, 64115,4,software engineering,25,software developer,110000
80,86,Lonna van der Beek,1960-08-03,F,1,4.0,10,9.62,62.0,60,lonna_vanderbeek5986@hmail.com,761 Hidden Summit Boulevard, Peebles village, Alaska, 65204,10,ux/ui designer,15,analytics,86000
81,87,Rosina Bender,1961-06-05,F,2,10.0,7,4.93,61.0,60,rosina_bender3174@coldmail.com,154 Velvet Fort, Waynesboro, New York, 07084,7,iOS developer,27,engineer,101000
82,88,Danilo van Zijderveld,1981-07-11,M,4,4.0,3,12.52,41.0,40,danilo1680@woohoo.com,111 Easy Embers Plain, East Brewton, Arkansas, 55788,3,data analyst,12,creative,66000
83,89,Scott de Boef,1976-01-21,M,2,11.0,0,0.0,47.0,40,scott_deboef9061@coldmail.com,P.O. Box 47591, Pemberton borough, Pennsylvania, 13428,0,none,0,engineer,101000
84,90,Everett Williams,1967-05-14,M,4,8.0,7,16.71,56.0,50,everett3701@woohoo.com,865 W Eighth, Fort Atkinson, New Jersey, 78282,7,iOS developer,27,creative,66000
85,91,Angelo Kloosterboer,1968-12-15,M,4,4.0,8,7.53,54.0,50,angelo_kloosterboer7172@woohoo.com,788 Embers Narrow, West Pensacola, Oklahoma, 47336,8,android developer,27,creative,66000
86,92,Mendy de Prijs,1984-10-15,F,2,2.0,9,8.21,38.0,30,mendy_deprijs8898@hmail.com,272 NE Summit, Guntersville, Wisconsin, 25336,9,machine learning engineer,35,engineer,101000
87,93,Angella Lucas,1944-04-02,N,5,3.0,6,16.82,79.0,70,angella9307@inlook.com,291 Cedar Jetty, Twin Hills, Texas, 17665,6,frontend engineer,20,financial services,135000
88,94,Kenneth Bean,1951-02-16,N,3,6.0,10,0.0,72.0,70,kenneth_bean7121@woohoo.com,91 Grand Shadow, Edcouch, New York, 43284,10,ux/ui designer,15,software developer,110000
89,95,Kylee Brown,1952-07-29,F,4,0.0,6,18.98,70.0,70,kylee_brown5859@inlook.com,259 Merry Highlands, Thornburg borough, New Mexico, 78662,6,frontend engineer,20,creative,66000
90,96,Myesha Dudley,1980-09-28,F,4,2.0,10,4.73,42.0,40,myesha_dudley5002@coldmail.com,554 Merry Lagoon, Jewett, Delaware, 49453,10,ux/ui designer,15,creative,66000
91,98,Martin Ramirez,1963-12-24,M,6,0.0,6,4.07,59.0,50,ramirez7186@hmail.com,317 S Quay, Eldred village, Texas, 61061,6,frontend engineer,20,education,61000
92,99,Violette Mills,1999-11-04,F,1,5.0,4,19.25,23.0,20,violette2248@hmail.com,165 Cliff Station, Radium Springs, Kansas, 22961,4,software engineering,25,analytics,86000
93,100,Elsy Rich,1982-03-11,F,7,12.0,9,26.09,41.0,40,rich4880@woohoo.com,540 Fallen Circle Gardens, Dunns, South Dakota, 17245,9,machine learning engineer,35,HR,80000
94,101,Marlin Salinas,1953-08-08,N,7,15.0,8,14.05,69.0,60,marlin_salinas1174@hmail.com,389 Stony Harbor, Nicoma Park, Tennessee, 53885,8,android developer,27,HR,80000
95,102,Benny Carlson,1999-01-23,M,6,9.0,4,24.96,24.0,20,carlson1934@woohoo.com,356 Dewy Fifth, Hamer, Arizona, 27476,4,software engineering,25,education,61000
96,103,Amado van Luijn,1986-01-21,M,7,11.0,7,0.82,37.0,30,amado4919@hmail.com,780 Bright End, Bellemeade, Iowa, 07765,7,iOS developer,27,HR,80000
97,104,Antone Hodge,1981-10-06,M,5,4.0,4,11.11,41.0,40,antone7687@inlook.com,520 Pony Port, Bonney Lake, Texas, 83429,4,software engineering,25,financial services,135000
98,105,Darryl van Het kaar,1945-02-17,M,2,14.0,8,1.09,78.0,70,vanhetkaar9889@woohoo.com,726 Emerald Wintergreen, Worley, New Hampshire, 91271,8,android developer,27,engineer,101000
99,106,Kraig Hays,1986-11-28,M,4,11.0,10,0.37,36.0,30,kraig_hays5756@hmail.com,824 SE Route, Oak Creek, Alabama, 28664,10,ux/ui designer,15,creative,66000
100,107,Rubin Klarenbos,1999-01-09,M,4,10.0,7,6.89,24.0,20,rubin124@woohoo.com,522 Sixth Union, Kanopolis, Iowa, 52344,7,iOS developer,27,creative,66000
101,108,Otto Sykes,1968-10-20,M,3,5.0,2,14.97,54.0,50,sykes668@coldmail.com,288 Little Kennedy Run, Worden village, Wisconsin, 09681,2,data engineer,20,software developer,110000
102,109,Ismael van der Veur,1963-06-23,M,1,15.0,5,8.85,59.0,50,vanderveur8453@coldmail.com,847 Wintergreen Bypass, Rudyard, Georgia, 58347,5,backend engineer,18,analytics,86000
103,110,Gricelda Chan,1950-04-21,F,2,15.0,2,18.56,73.0,70,chan7429@coldmail.com,2 Cliff Landing, Hidden Valley, Missouri, 45627,2,data engineer,20,engineer,101000
104,111,Craig van Zeijl,1955-08-24,N,1,15.0,1,2.44,67.0,60,craig_vanzeijl5523@inlook.com,837 Cinder Peavey Quay, North Alamo, North Carolina, 56282,1,data scientist,20,analytics,86000
105,112,Brandie Montes,1975-03-29,N,5,12.0,8,27.44,48.0,40,brandie_montes3415@coldmail.com,P.O. Box 35869, Ottumwa, Maine, 20129,8,android developer,27,financial services,135000
106,113,Andreas Williamson,1947-10-18,M,7,5.0,2,3.36,75.0,70,andreas7634@coldmail.com,833 Silent Crossroad, Filley village, Maine, 83760,2,data engineer,20,HR,80000
107,114,Bethanie Dawson,1966-11-25,F,3,2.0,8,16.69,56.0,50,bethanie_dawson4388@woohoo.com,404 Grand Woods, Rankin village, South Carolina, 50728,8,android developer,27,software developer,110000
108,115,Dale Stokes,1983-08-06,M,6,1.0,7,27.26,39.0,30,dale_stokes6752@coldmail.com,85 Clear Beach, Keyes, Montana, 16624,7,iOS developer,27,education,61000
109,116,Pablo Smith,1978-07-05,M,7,2.0,8,11.28,44.0,40,pablo_smith5192@woohoo.com,496 Thunder Mountain Street, Browns borough, South Dakota, 04819,8,android developer,27,HR,80000
110,117,Brent Carey,1982-12-20,M,3,3.0,1,9.18,40.0,40,carey984@woohoo.com,444 Cotton Swale, Emporium borough, Alabama, 78314,1,data scientist,20,software developer,110000
111,118,Jeane Weenink,1968-06-24,F,4,0.0,7,1.87,54.0,50,weenink590@inlook.com,598 Park Parkway, Ammon, Kansas, 76644,7,iOS developer,27,creative,66000
112,119,Kenna van Haren,1944-08-27,N,7,1.0,10,8.1,78.0,70,kenna_vanharen2060@hmail.com,363 Velvet Swale, Butlerville village, Washington, 66653,10,ux/ui designer,15,HR,80000
113,120,Shawnee Conley,1987-04-23,F,2,4.0,3,12.97,36.0,30,shawnee9465@inlook.com,540 Noble Throughway, Worthington, Nebraska, 63030,3,data analyst,12,engineer,101000
114,121,Odilia Pael,1957-01-27,F,1,12.0,0,0.0,66.0,60,pael2238@woohoo.com,131 Silver Beacon Woods, Atkins, Vermont, 18597,0,none,0,analytics,86000
115,122,Milan Luna,1981-03-03,N,2,7.0,10,0.96,42.0,40,milan_luna8393@inlook.com,P.O. Box 99966, Stewartsville, Texas, 23807,10,ux/ui designer,15,engineer,101000
116,123,Odis van Woudenberg,1961-05-13,M,2,13.0,3,3.7,62.0,60,vanwoudenberg5385@hmail.com,937 Rocky Narrow, West Brookfield, Florida, 84193,3,data analyst,12,engineer,101000
117,124,Pat Le,1943-03-01,M,5,7.0,8,5.93,80.0,80,le5668@woohoo.com,533 High Flat Causeway, Dilley, North Dakota, 10181,8,android developer,27,financial services,135000
118,125,Shaunna Sombaert,1995-05-18,F,4,4.0,5,4.28,28.0,20,shaunna4631@woohoo.com,P.O. Box 38655, Lebanon South, New Hampshire, 44497,5,backend engineer,18,creative,66000
119,126,Xavier Hallen,1971-12-13,M,4,1.0,6,14.89,51.0,50,xavier9653@woohoo.com,269 Camp Ramp, Lone Jack, Iowa, 08243,6,frontend engineer,20,creative,66000
120,127,Lenny Pate,1955-10-21,M,2,14.0,9,6.77,67.0,60,lenny_pate4675@coldmail.com,P.O. Box 94606, Bonneau, Alaska, 08452,9,machine learning engineer,35,engineer,101000
121,128,Monroe van Versendaal,1949-05-27,N,2,1.0,8,21.93,73.0,70,vanversendaal7208@inlook.com,360 Ferry Row, Sun village, Ohio, 90976,8,android developer,27,engineer,101000
122,129,Benjamin van Waay,1984-02-15,M,3,6.0,10,9.88,39.0,30,vanwaay7735@inlook.com,442 Blue Dam, Kobuk, Nevada, 52994,10,ux/ui designer,15,software developer,110000
123,130,Lorena Oneill,2001-05-27,F,7,4.0,7,25.74,21.0,20,oneill7324@woohoo.com,395 Indian Creek, Gardiner, Iowa, 99193,7,iOS developer,27,HR,80000
124,131,Eleonor Chayah,2004-10-06,F,8,10.0,8,22.1,18.0,10,chayah3721@inlook.com,541 Mall Plain, Wetherington, Maine, 34013,8,android developer,27,student,10000
125,132,Corey Moon,1943-02-20,M,5,10.0,10,2.61,80.0,80,corey6135@hmail.com,522 Silver Wintergreen Road, McDermitt, Georgia, 91002,10,ux/ui designer,15,financial services,135000
126,133,Henry Estes,2002-07-25,F,8,2.0,5,17.96,20.0,20,estes6896@hmail.com,357 Fallen Shadow, Seldovia Village, Massachusetts, 78091,5,backend engineer,18,student,10000
127,134,Tomas Bosschaert,1984-06-02,M,3,0.0,9,18.02,38.0,30,bosschaert2055@hmail.com,P.O. Box 71511, West Springfield, Nevada, 56338,9,machine learning engineer,35,software developer,110000
128,135,Chase Buckner,1984-11-16,M,3,5.0,2,4.98,38.0,30,chase_buckner9628@coldmail.com,727 S Eighth Trafficway, Greenback, Wyoming, 35966,2,data engineer,20,software developer,110000
129,136,Shonda Shaffer,1989-07-12,F,3,15.0,10,6.57,33.0,30,shonda5651@hmail.com,476 Autumn Beach, McIntosh, Kansas, 94937,10,ux/ui designer,15,software developer,110000
130,137,Guillermina Lara,1967-06-13,F,4,1.0,3,8.21,55.0,50,guillermina_lara5035@hmail.com,863 Rocky Harbor, Summerfield village, Vermont, 33820,3,data analyst,12,creative,66000
131,138,Foster Dodson,2001-06-22,M,6,1.0,4,15.83,21.0,20,foster_dodson5683@woohoo.com,114 Cedar Cider, Camilla, Connecticut, 22062,4,software engineering,25,education,61000
132,139,Erick Little,1954-06-06,N,2,10.0,5,1.67,68.0,60,erick1641@inlook.com,709 Bright Deer Passage, Sierra Madre, Maryland, 09711,5,backend engineer,18,engineer,101000
133,141,Elanor Campbell,1957-07-30,F,5,9.0,4,14.36,65.0,60,elanor_campbell8433@woohoo.com,P.O. Box 20112, Rebecca, Kentucky, 77924,4,software engineering,25,financial services,135000
134,142,Gustavo van Baal,1952-08-18,M,3,6.0,7,21.02,70.0,70,gustavo1013@inlook.com,655 Stony Essex Acres, Marysville borough, Oklahoma, 59698,7,iOS developer,27,software developer,110000
135,143,Rickie Figueroa,1966-07-19,M,5,6.0,5,10.47,56.0,50,figueroa9393@inlook.com,157 Cedar Bluff, Cove, Alabama, 01925,5,backend engineer,18,financial services,135000
136,144,Marilou de Jong,2004-10-31,F,8,13.0,0,0.0,18.0,10,dejong3230@inlook.com,141 SE Corner, Chapmanville, New Jersey, 07630,0,none,0,student,10000
137,145,Rosaria Stofberg,1954-05-19,F,7,11.0,2,9.83,69.0,60,rosaria3852@woohoo.com,581 Easy Mall, Womelsdorf borough, Mississippi, 83037,2,data engineer,20,HR,80000
138,146,Hilton Guzman,1992-07-20,N,6,7.0,0,0.0,30.0,30,hilton9033@hmail.com,P.O. Box 32682, Fall River village, Hawaii, 35048,0,none,0,education,61000
139,147,Dwayne Ward,1960-07-06,M,5,4.0,8,27.67,62.0,60,dwayne_ward1510@woohoo.com,277 Fallen Brook Dell, Kings Point, Pennsylvania, 42208,8,android developer,27,financial services,135000
140,148,Issac de Vries,1950-12-27,M,5,13.0,1,2.4,72.0,70,issac_devries5105@inlook.com,585 Jagged Island, Lyons Falls village, Louisiana, 05005,1,data scientist,20,financial services,135000
141,149,Emelda Miedema,1962-05-01,F,4,0.0,5,0.23,61.0,60,miedema175@inlook.com,515 Colonial Berry, Haigler village, Maryland, 06233,5,backend engineer,18,creative,66000
142,151,Petrina Veldman,1998-10-30,F,4,12.0,10,4.35,24.0,20,petrina_veldman5306@inlook.com,426 Richmond Jetty, Stock Island, Massachusetts, 27222,10,ux/ui designer,15,creative,66000
